Start Time (PST),End Time (PST),Zone Name,Media Type,File Name
2017-08-21T00:24:40,2017-08-21T00:24:49,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
2017-08-21T00:24:49,2017-08-21T00:25:05,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
2017-08-21T00:25:05,2017-08-21T00:25:13,Video or Images,video,FS_Stills_National_Hat01.mp4
2017-08-21T00:25:13,2017-08-21T00:25:24,Video or Images,video,FS_Stills_National_CTA_Cater.mov
2017-08-21T00:25:24,2017-08-21T00:26:04,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
2017-08-21T00:26:04,2017-08-21T00:26:49,Video or Images,html5,Three Towers fat sals
2017-08-21T00:26:49,2017-08-21T00:26:58,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
2017-08-21T00:26:58,2017-08-21T00:27:14,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
2017-08-21T00:27:14,2017-08-21T00:27:23,Video or Images,video,FS_Stills_National_Hat01.mp4
2017-08-21T00:27:23,2017-08-21T00:27:33,Video or Images,video,FS_Stills_National_CTA_Cater.mov
2017-08-21T00:27:33,2017-08-21T00:28:13,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
2017-08-21T00:28:13,2017-08-21T00:28:59,Video or Images,html5,Three Towers fat sals
2017-08-21T00:28:59,2017-08-21T00:29:07,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
2017-08-21T00:29:07,2017-08-21T00:29:24,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
2017-08-21T00:29:24,2017-08-21T00:29:32,Video or Images,video,FS_Stills_National_Hat01.mp4
2017-08-21T00:29:32,2017-08-21T00:29:42,Video or Images,video,FS_Stills_National_CTA_Cater.mov
2017-08-21T00:29:42,2017-08-21T00:30:23,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
2017-08-21T00:30:23,2017-08-21T00:31:08,Video or Images,html5,Three Towers fat sals
2017-08-21T00:31:08,2017-08-21T00:31:16,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
2017-08-21T00:31:16,2017-08-21T00:31:33,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
2017-08-21T00:31:33,2017-08-21T00:31:41,Video or Images,video,FS_Stills_National_Hat01.mp4
2017-08-21T00:31:41,2017-08-21T00:31:52,Video or Images,video,FS_Stills_National_CTA_Cater.mov
2017-08-21T00:31:52,2017-08-21T00:32:32,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
2017-08-21T00:32:32,2017-08-21T00:33:17,Video or Images,html5,Three Towers fat sals
2017-08-21T00:33:17,2017-08-21T00:33:26,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
2017-08-21T00:33:26,2017-08-21T00:33:42,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
2017-08-21T00:33:42,2017-08-21T00:33:51,Video or Images,video,FS_Stills_National_Hat01.mp4
2017-08-21T00:33:51,2017-08-21T00:34:01,Video or Images,video,FS_Stills_National_CTA_Cater.mov
2017-08-21T00:34:01,2017-08-21T00:34:41,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
2017-08-21T00:34:41,2017-08-21T00:35:27,Video or Images,html5,Three Towers fat sals
2017-08-21T00:35:27,2017-08-21T00:35:35,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
2017-08-21T00:35:35,2017-08-21T00:35:51,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
2017-08-21T00:35:51,2017-08-21T00:36:00,Video or Images,video,FS_Stills_National_Hat01.mp4
