#,,,,,,,,,,,,,,
# VidiCenter Raw CSV export,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# @ Locations ID @ 24941,34209,,,,,,,,,,,,,
# @ Start time @ 2017-01-01 00:00:00,,,,,,,,,,,,,,
# @ End time @ 2017-12-31 23:59:59,,,,,,,,,,,,,,
# @ Server time @ 2017-09-24 03:44:14,,,,,,,,,,,,,,
# @ Data type @ viewers,,,,,,,,,,,,,,
# @ Aggregation @ raw,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# @ Location info format @ Location ID,Location Name,Site ID,Site Name,Network ID,,,,,,,,,,
# Location info @ 24941,location-24941 (DESKTOP-60COFJJ),3156,VidiReports,1359,,,,,,,,,,
# Location info @ 34209,location-34209 (Joes-HP-ENVY),3156,VidiReports,1359,,,,,,,,,,
# For an explanation of the values in those columns,please visit https://vidicenter.quividi.com/next/analytics/export/help,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
location_id,period_start,gender,age,age_value,glasses,mustache,beard,very_unhappy,unhappy,neutral,happy,very_happy,dwell_time,attention_time
34209,2017-08-17 15:29:04,1,3,41,1,1,1,0,45.88235294,31.37254902,7.450980392,15.29411765,38,8
34209,2017-08-17 15:30:19,1,3,48,1,2,1,16.47058824,16.47058824,50.58823529,16.47058824,0,149,8
34209,2017-08-17 15:32:17,1,3,34,1,2,2,0,41.17647059,58.82352941,0,0,9,7
34209,2017-08-17 15:34:12,1,3,44,1,1,1,0,27.45098039,17.64705882,48.23529412,6.666666667,29,14
34209,2017-08-17 15:46:32,1,3,36,1,2,1,0,100,0,0,0,34,8
34209,2017-08-17 15:49:32,1,2,27,1,1,1,0,0,0,0,0,81,15
34209,2017-08-17 17:09:27,1,3,43,1,1,2,0,0.3921568627,46.2745098,43.52941176,9.803921569,904,779
34209,2017-08-17 17:10:56,1,3,46,1,2,2,0,0.3921568627,94.11764706,5.490196078,0,249,134
34209,2017-08-17 17:11:18,1,3,36,1,2,2,0,0,0,0,0,32,3
34209,2017-08-17 17:11:27,1,3,42,1,2,1,0,0.7843137255,34.90196078,53.33333333,10.98039216,2085,1802
34209,2017-08-17 17:15:50,1,3,45,1,2,1,0,0,43.92156863,50.98039216,5.098039216,76,33
34209,2017-08-17 17:18:04,1,3,40,1,1,1,0,5.098039216,52.15686275,38.03921569,4.705882353,152,141
34209,2017-08-17 17:19:13,1,3,41,1,2,1,0,5.882352941,69.80392157,24.31372549,0,34,34
34209,2017-08-17 17:19:15,1,3,35,1,1,2,0,0,0,0,0,36,3
34209,2017-08-17 17:24:19,1,4,68,1,1,1,0,0,0,0,0,18,3
34209,2017-08-17 17:26:39,1,3,45,1,2,1,0,0,90.98039216,9.019607843,0,60,7
34209,2017-08-17 17:27:28,1,3,44,1,1,1,0,20,0,80,0,92,3
34209,2017-08-17 17:33:18,1,3,41,1,2,1,0,15.29411765,69.41176471,15.29411765,0,46,9
34209,2017-08-17 17:40:04,1,3,33,1,2,2,0,9.019607843,57.25490196,31.76470588,1.960784314,198,43
34209,2017-08-17 17:40:34,1,3,45,1,1,1,0,0,71.76470588,28.23529412,0,28,10
34209,2017-08-17 17:46:10,1,3,40,1,2,1,0,8.62745098,59.21568627,32.15686275,0,96,49
34209,2017-08-17 17:47:18,2,2,23,1,1,1,0,3.921568627,87.84313725,8.235294118,0,55,20
34209,2017-08-17 17:49:00,1,3,41,1,2,1,0,4.31372549,73.33333333,22.35294118,0,66,35
34209,2017-08-17 17:57:21,1,3,38,1,1,1,0,87.45098039,12.54901961,0,0,1071,871
34209,2017-08-17 18:02:02,1,3,37,1,2,2,0,2.745098039,52.15686275,43.52941176,1.568627451,2114,1834
34209,2017-08-17 18:06:31,1,2,20,1,1,1,0,24.31372549,68.23529412,6.274509804,1.176470588,1003,789
34209,2017-08-17 18:08:19,1,2,29,1,1,1,0,21.96078431,56.8627451,8.235294118,12.94117647,203,170
34209,2017-08-17 18:46:52,1,3,40,1,1,1,0,16.47058824,50.19607843,33.33333333,0,93,29
34209,2017-08-17 18:47:29,1,2,28,1,1,1,0,12.94117647,63.92156863,16.47058824,6.666666667,222,198
34209,2017-08-17 19:29:42,1,3,51,1,1,2,0,0,85.88235294,14.11764706,0,83,20
34209,2017-08-17 19:34:11,1,3,47,1,2,1,0,9.019607843,90.98039216,0,0,64,13
34209,2017-08-17 19:35:37,1,3,40,1,1,1,0,28.23529412,71.76470588,0,0,121,8
34209,2017-08-18 7:26:44,1,3,57,1,2,1,0,14.50980392,52.15686275,33.33333333,0,184,43
34209,2017-08-18 7:27:47,1,3,51,1,1,1,0,33.33333333,66.66666667,0,0,20,7
34209,2017-08-21 18:43:08,1,3,51,1,2,2,0,71.37254902,26.2745098,1.960784314,0.3921568627,538,203
34209,2017-08-21 18:44:02,1,3,46,1,2,2,0,3.137254902,85.09803922,11.76470588,0,115,87
34209,2017-08-21 18:44:20,1,3,43,1,2,1,0,14.50980392,70.98039216,14.50980392,0,18157,52
34209,2017-08-21 19:14:36,1,3,44,1,2,1,0,12.94117647,63.1372549,17.64705882,6.274509804,951,905
34209,2017-08-21 19:17:22,1,3,48,1,2,1,0,46.2745098,50.98039216,2.745098039,0,548,477
34209,2017-08-21 19:17:49,2,3,40,1,1,1,3.921568627,10.58823529,59.60784314,11.76470588,14.11764706,1406,1354
34209,2017-08-21 19:18:57,1,3,46,1,2,1,0,33.33333333,60.39215686,3.921568627,2.352941176,770,630
34209,2017-08-21 19:20:57,1,3,32,2,2,1,0,49.80392157,50.19607843,0,0,19,13
34209,2017-08-23 7:20:36,1,3,55,2,2,2,0,33.7254902,61.17647059,5.098039216,0,420,368
34209,2017-08-23 7:20:44,0,0,65535,0,0,0,0,0,0,0,0,36,7
34209,2017-08-23 7:21:12,2,2,29,1,1,1,0,10.98039216,85.09803922,3.529411765,0.3921568627,1063,1056
34209,2017-08-23 7:22:52,1,3,55,2,2,2,0,11.37254902,82.35294118,5.882352941,0.3921568627,727,530
34209,2017-08-23 7:24:09,1,3,47,2,2,1,0.3921568627,42.35294118,47.45098039,3.529411765,6.274509804,1085,930
34209,2017-08-23 7:24:12,1,3,54,2,2,1,0,10.58823529,39.21568627,44.31372549,5.882352941,323,173
34209,2017-08-23 7:24:20,1,3,46,2,1,1,0,0,0.3921568627,74.90196078,24.70588235,89,79
34209,2017-08-23 7:24:28,1,3,55,2,2,1,0.3921568627,11.76470588,48.23529412,30.98039216,8.62745098,480,360
34209,2017-08-23 7:24:30,2,3,39,3,1,1,0,6.666666667,33.7254902,34.11764706,25.49019608,275,258
34209,2017-08-23 7:24:54,1,3,45,2,1,1,0,7.058823529,43.92156863,41.96078431,7.058823529,177,171
34209,2017-08-23 7:25:45,1,3,54,2,2,1,0,10.98039216,62.74509804,24.31372549,1.960784314,86,65
34209,2017-08-24 6:59:07,1,1,15,1,1,1,0,0,40,60,0,53,29
34209,2017-08-25 19:25:14,2,3,52,2,1,1,0,2.352941176,48.62745098,49.01960784,0,292,246
